date,gross_return,transaction_cost,borrow_cost,funding_cost,net_return,gross_leverage,equity_curve
2026-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
2026-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.9688177795048483
